,Max Bid,Ad Delivery Status,Billing Event,Optimization Goal,Automatically Set Bid,Bid Type,Budget Pacing,Age Range,Gender,Duration,Frequency Cap,Duration Days,conversion
0,0.0445445445445,2,1,1,2,1,1,10,3,0.0,-1.0,4,0.000785083415113
2,0.138638638639,1,1,1,2,1,1,1,3,-1.0,1.0,1,0.0
6,0.374374374374,1,1,1,2,1,1,10,3,0.725036902464,-1.0,4,0.000563854817826
7,0.044044044044,2,1,1,2,1,1,10,3,0.0182809129102,-1.0,4,8.12730612311e-05
8,-1.0,1,1,1,1,1,1,10,3,-1.0,-1.0,4,0.0
13,0.0740740740741,2,1,1,2,1,1,10,3,0.136505052799,-1.0,4,0.000166112956811
14,0.0740740740741,2,1,1,2,1,1,10,3,0.136527762007,-1.0,4,0.000160322977926
15,0.249249249249,1,1,1,2,1,1,10,3,0.433655047122,-1.0,4,0.000128058946518
16,0.0447947947948,2,1,1,2,1,1,10,3,0.00445100488248,-1.0,4,5.24917850356e-05
17,0.0447947947948,2,1,1,2,1,1,10,3,0.0109912569547,-1.0,4,0.000265596411497
19,0.0740740740741,1,1,1,2,1,2,10,3,-1.0,-1.0,4,0.0
20,0.124124124124,1,1,1,2,1,2,10,3,-1.0,-1.0,4,0.0
21,0.124124124124,1,1,1,2,1,2,10,3,-1.0,-1.0,4,0.0
22,0.0740740740741,2,1,1,2,1,1,10,3,-1.0,-1.0,4,0.0
23,0.0740740740741,1,1,1,2,1,1,10,3,-1.0,-1.0,4,0.0
25,0.0740740740741,1,1,1,2,1,2,10,3,-1.0,-1.0,4,0.0
26,0.0740740740741,1,1,1,2,1,2,10,3,-1.0,-1.0,4,0.0
28,-1.0,2,1,1,1,1,1,10,3,0.00197570114682,-1.0,4,0.000182448458311
31,-1.0,2,1,1,1,1,1,10,3,0.00197570114682,-1.0,4,0.000298900047824
32,-1.0,2,1,1,1,1,1,10,3,0.00197570114682,-1.0,4,0.0
33,-1.0,2,1,1,1,1,1,10,3,0.00197570114682,-1.0,4,0.0
34,-1.0,2,1,1,1,1,1,10,3,0.00197570114682,-1.0,4,0.000417014178482
35,-1.0,2,1,1,1,1,1,10,3,0.00197570114682,-1.0,4,0.0
37,-1.0,2,1,1,1,1,1,10,3,0.00197570114682,-1.0,4,0.000530785562633
38,-1.0,2,1,1,1,1,1,10,3,0.00197570114682,-1.0,4,0.0
39,-1.0,2,1,1,1,1,1,10,3,0.00197570114682,-1.0,4,0.0
40,-1.0,2,1,1,1,1,1,10,3,0.00197570114682,-1.0,4,0.000490367775832
