,Ad Delivery Status,Automatically Set Bid,Bid Type,Budget Pacing,Max Bid,Duration,Countries,conversion
0,1.0,1.0,1.0,1.0,0.0445445445445,0.0,0.178913738019,0.000785083415113
6,0.495207667732,1.0,1.0,1.0,0.374374374374,0.725036902464,0.297124600639,0.000563854817826
7,1.0,1.0,1.0,1.0,0.044044044044,0.0182809129102,0.178913738019,8.12730612311e-05
11,1.0,1.0,1.0,1.0,0.0740740740741,0.136573180425,0.466453674121,0.000151466604527
12,1.0,1.0,1.0,1.0,0.0740740740741,0.136550471216,0.466453674121,0.00015503961816
13,1.0,1.0,1.0,1.0,0.0740740740741,0.136505052799,0.466453674121,0.000166112956811
14,1.0,1.0,1.0,1.0,0.0740740740741,0.136527762007,0.466453674121,0.000160322977926
16,1.0,1.0,1.0,1.0,0.0447947947948,0.00445100488248,0.178913738019,5.24917850356e-05
28,1.0,0.364217252396,1.0,1.0,-1.0,0.00197570114682,0.297124600639,0.000182448458311
29,1.0,0.364217252396,1.0,1.0,-1.0,0.00197570114682,0.297124600639,0.00138312586445
31,1.0,0.364217252396,1.0,1.0,-1.0,0.00197570114682,0.297124600639,0.000298900047824
37,1.0,0.364217252396,1.0,1.0,-1.0,0.00197570114682,0.297124600639,0.000530785562633
40,1.0,0.364217252396,1.0,1.0,-1.0,0.00197570114682,0.297124600639,0.000490367775832
41,1.0,0.364217252396,1.0,1.0,-1.0,0.00197570114682,0.297124600639,0.000334858801205
42,1.0,0.364217252396,1.0,1.0,-1.0,0.00197570114682,0.297124600639,0.000404612583451
44,1.0,0.364217252396,1.0,1.0,-1.0,0.00197570114682,0.297124600639,0.000149566257852
46,1.0,0.364217252396,1.0,1.0,-1.0,0.00197570114682,0.297124600639,0.000581564408258
47,1.0,0.364217252396,1.0,1.0,-1.0,0.00197570114682,0.297124600639,0.0002171635187
52,1.0,1.0,1.0,1.0,0.0447947947948,0.0175996366527,0.178913738019,0.000286377629816
54,1.0,0.364217252396,1.0,1.0,-1.0,0.10169183604,0.0159744408946,0.000336050911713
56,1.0,1.0,1.0,1.0,0.136636636637,0.0015669353923,0.0766773162939,0.000165623240253
57,1.0,1.0,1.0,1.0,0.136636636637,0.0997388441013,0.0766773162939,0.00010973271421
59,1.0,0.364217252396,1.0,1.0,-1.0,0.0189621891677,0.121405750799,0.000306138068269
89,0.495207667732,1.0,1.0,0.364217252396,0.174174174174,-1.0,1.0,1.23968735085e-05
90,0.495207667732,1.0,1.0,1.0,0.0990990990991,-1.0,1.0,0.0171650055371
91,0.495207667732,1.0,1.0,1.0,0.0990990990991,-1.0,1.0,0.00165243734508
129,1.0,1.0,1.0,1.0,0.149149149149,1.0,1.0,0.0251633409853
130,1.0,1.0,1.0,1.0,0.149149149149,1.0,1.0,0.00213447171825
131,1.0,1.0,1.0,1.0,0.149149149149,1.0,1.0,0.00120963989951
132,1.0,1.0,1.0,1.0,0.149149149149,1.0,1.0,0.0116699083079
133,1.0,1.0,1.0,1.0,0.149149149149,1.0,1.0,0.00349497597204
134,1.0,1.0,1.0,1.0,0.149149149149,1.0,1.0,0.00109425573332
136,1.0,1.0,1.0,0.364217252396,0.199199199199,0.423208811173,1.0,0.00137237754669
138,1.0,1.0,1.0,0.364217252396,0.199199199199,0.423208811173,1.0,0.00377403170187
140,0.495207667732,1.0,1.0,1.0,0.0990990990991,-1.0,1.0,0.000199005736723
142,0.495207667732,1.0,1.0,1.0,0.0990990990991,-1.0,1.0,0.000120435287539
143,0.495207667732,1.0,1.0,1.0,0.0990990990991,-1.0,1.0,0.00134438718351
166,1.0,1.0,1.0,1.0,0.0447947947948,0.0407630294084,0.178913738019,7.97957229492e-05
172,0.495207667732,1.0,1.0,0.364217252396,0.0740740740741,0.203429090496,0.466453674121,0.000292412749196
174,0.495207667732,1.0,1.0,0.364217252396,0.0740740740741,0.203383672079,0.466453674121,0.000367579489065
176,0.495207667732,1.0,1.0,0.364217252396,0.0740740740741,0.203429090496,0.466453674121,0.000214408233276
178,0.495207667732,1.0,1.0,0.364217252396,0.249249249249,0.203383672079,0.466453674121,0.000160913991472
179,0.495207667732,1.0,1.0,0.364217252396,0.0740740740741,0.135301464744,0.466453674121,4.17410178547e-05
182,1.0,1.0,1.0,1.0,0.0740740740741,0.341183149767,0.466453674121,0.000149893371306
183,1.0,1.0,1.0,0.364217252396,0.249249249249,0.00233904848416,0.466453674121,9.10415149308e-05
184,1.0,1.0,1.0,1.0,0.0740740740741,0.201385261724,0.466453674121,0.000201417849584
185,1.0,1.0,1.0,1.0,0.0740740740741,0.105030089701,0.466453674121,0.000101072815744
187,1.0,1.0,1.0,1.0,0.0740740740741,0.341160440559,0.466453674121,0.00012356962829
