,Max Bid,Ad Delivery Status,Billing Event,Optimization Goal,Automatically Set Bid,Bid Type,Budget Pacing,Age Range,Gender,Duration,Frequency Cap,Duration Days,conversion
0,0.0445445445445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,0.000785083415113
5,0.374374374374,0.495207667732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.725036902464,-1.0,1.0,0.000417362270451
7,0.044044044044,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0182809129102,-1.0,1.0,8.12730612311e-05
12,0.0740740740741,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.136550471216,-1.0,1.0,0.00015503961816
14,0.0740740740741,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.136527762007,-1.0,1.0,0.000160322977926
15,0.249249249249,0.495207667732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.433655047122,-1.0,1.0,0.000128058946518
17,0.0447947947948,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0109912569547,-1.0,1.0,0.000265596411497
27,-1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.0388327466788,-1.0,1.0,0.000765365064695
28,-1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.00197570114682,-1.0,1.0,0.000182448458311
29,-1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.00197570114682,-1.0,1.0,0.00138312586445
31,-1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.00197570114682,-1.0,1.0,0.000298900047824
37,-1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.00197570114682,-1.0,1.0,0.000530785562633
41,-1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.00197570114682,-1.0,1.0,0.000334858801205
42,-1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.00197570114682,-1.0,1.0,0.000404612583451
47,-1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.00197570114682,-1.0,1.0,0.0002171635187
51,-1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.0575079872204,1.0,0.0625411604406,-1.0,1.0,0.000111169121982
52,0.0447947947948,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0175996366527,-1.0,1.0,0.000286377629816
53,0.0442942942943,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00903826501646,-1.0,1.0,9.69777574586e-05
57,0.136636636637,1.0,1.0,1.0,1.0,1.0,1.0,0.127795527157,1.0,0.0997388441013,-1.0,1.0,0.00010973271421
58,-1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.135982741001,-1.0,1.0,0.000198289537209
59,-1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.0189621891677,-1.0,1.0,0.000306138068269
88,0.174174174174,0.495207667732,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,-1.0,-1.0,1.0,0.000905387052965
89,0.174174174174,0.495207667732,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,-1.0,-1.0,1.0,1.23968735085e-05
90,0.0990990990991,0.495207667732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.0171650055371
91,0.0990990990991,0.495207667732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.00165243734508
129,0.149149149149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0251633409853
130,0.149149149149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.00213447171825
131,0.149149149149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.00120963989951
133,0.149149149149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.00349497597204
134,0.149149149149,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.00109425573332
136,0.199199199199,1.0,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.423208811173,-1.0,1.0,0.00137237754669
137,0.199199199199,1.0,1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,0.423208811173,-1.0,1.0,0.00086236733368
143,0.0990990990991,0.495207667732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.00134438718351
166,0.0447947947948,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0407630294084,-1.0,1.0,7.97957229492e-05
172,0.0740740740741,0.495207667732,1.0,1.0,1.0,1.0,0.364217252396,0.198083067093,1.0,0.203429090496,-1.0,1.0,0.000292412749196
174,0.0740740740741,0.495207667732,1.0,1.0,1.0,1.0,0.364217252396,0.198083067093,1.0,0.203383672079,-1.0,1.0,0.000367579489065
178,0.249249249249,0.495207667732,1.0,1.0,1.0,1.0,0.364217252396,0.198083067093,1.0,0.203383672079,-1.0,1.0,0.000160913991472
179,0.0740740740741,0.495207667732,1.0,1.0,1.0,1.0,0.364217252396,0.0351437699681,1.0,0.135301464744,-1.0,1.0,4.17410178547e-05
184,0.0740740740741,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.201385261724,-1.0,1.0,0.000201417849584
187,0.0740740740741,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.341160440559,-1.0,1.0,0.00012356962829
195,0.0740740740741,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.302918133303,-1.0,1.0,8.28397465104e-05
196,0.0740740740741,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34113773135,-1.0,1.0,0.000165024145638
197,0.249249249249,1.0,1.0,1.0,1.0,1.0,0.364217252396,0.00638977635783,1.0,0.00240717610991,-1.0,1.0,0.00033836653555
198,0.499499499499,1.0,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,0.105416146247,-1.0,1.0,0.000560102925845
199,0.124124124124,0.495207667732,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,-1.0,-1.0,1.0,0.000594726756096
202,0.499499499499,1.0,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,0.106687861928,-1.0,1.0,0.000737337959549
203,0.124124124124,0.495207667732,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,-1.0,-1.0,1.0,0.000561533110176
204,0.0740740740741,1.0,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,0.384716702623,-1.0,1.0,0.0010104071941
205,0.0740740740741,1.0,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,0.384807539457,-1.0,1.0,0.000904507710558
206,0.0740740740741,1.0,1.0,1.0,1.0,1.0,1.0,0.198083067093,1.0,0.384852957874,-1.0,1.0,0.000808543257064
210,-1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.0339502668332,-1.0,1.0,0.000899853773762
211,-1.0,1.0,1.0,1.0,0.364217252396,1.0,1.0,1.0,1.0,0.0339502668332,-1.0,1.0,0.000127980888187
213,0.374374374374,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.207925513796,-1.0,1.0,0.000411974732216
217,0.156656656657,1.0,1.0,1.0,1.0,1.0,1.0,0.0159744408946,1.0,0.0309526513001,-1.0,1.0,0.000203746418716
218,0.156656656657,1.0,1.0,1.0,1.0,1.0,1.0,0.0159744408946,1.0,0.0310889065516,-1.0,1.0,0.000134898151895
219,0.119369369369,1.0,1.0,1.0,1.0,1.0,1.0,0.127795527157,1.0,0.0151016237084,-1.0,1.0,0.00810036488319
